,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
258,RZAK11,Títulos e Val. Mob.,"R$ 93,46",7307.0,"R$ 1,30","1,39%","4,15%","7,46%","11,97%","1,38%","1,24%","1,00%","2,76%","-2,04%","-0,67%","0,68%","R$ 281.838.303,05","R$ 93,89","1,00","1,38%","0,00%","1,38%","1,38%",N/A,N/A,0
259,MATV11,Títulos e Val. Mob.,"R$ 98,00",1174.0,"R$ 1,30","1,33%","3,66%","0,00%","0,00%","1,22%","0,00%","0,00%","2,45%","0,01%","1,34%","2,47%","R$ 33.908.738,45","R$ 97,64","1,00","1,13%","0,00%","1,13%","1,13%",N/A,N/A,0
260,MCHY11,Títulos e Val. Mob.,"R$ 115,89",45438.0,"R$ 1,30","1,18%","3,44%","6,79%","0,00%","1,15%","1,13%","0,00%","2,35%","-0,90%","0,27%","1,44%","R$ 361.739.642,10","R$ 102,27","1,13","1,27%","0,00%","1,27%","1,27%",N/A,N/A,0
261,ERCR11,Híbrido,"R$ 76.000,00",1.0,"R$ 684,38","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 169.526.970,92","R$ 71.349,74","1,07","1,37%","-0,47%","0,89%","0,90%",N/A,N/A,0
262,CCRF11,Títulos e Val. Mob.,"R$ 99,13",177.0,"R$ 1,35","1,35%","3,73%","0,00%","0,00%","1,24%","0,00%","0,00%","1,35%","0,00%","1,35%","1,35%","R$ 157.222.002,74","R$ 100,02","0,99","1,05%","-0,16%","0,89%","2,25%",N/A,N/A,0
263,EQIR11,Títulos e Val. Mob.,"R$ 99,80",59.0,"R$ 1,05","1,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,07%","0,00%","1,07%","1,07%","R$ 51.073.367,48","R$ 101,64","0,98","1,03%","0,00%","1,03%","1,03%",N/A,N/A,0
264,CNES11,Lajes Corporativas,"R$ 33,34",283.0,"R$ 0,13","0,39%","1,19%","2,14%","3,39%","0,40%","0,36%","0,28%","0,39%","0,00%","0,39%","0,39%","R$ 255.388.232,33","R$ 86,59","0,39","0,15%","0,00%","0,15%","0,15%","56,70%",N/A,1
265,MORC11,Títulos e Val. Mob.,"R$ 100,19",3639.0,"R$ 1,11","1,11%","3,61%","0,00%","0,00%","1,20%","0,00%","0,00%","1,11%","0,00%","1,11%","1,11%","R$ 78.646.991,18","R$ 100,84","0,99","1,10%","0,00%","1,10%","1,10%",N/A,N/A,0
266,BTAL11,Outros,"R$ 97,10",8728.0,"R$ 0,80","0,85%","2,56%","5,10%","0,00%","0,85%","0,85%","0,00%","0,85%","0,00%","0,85%","0,85%","R$ 617.128.957,81","R$ 103,15","0,94","0,78%","0,00%","0,78%","0,78%",N/A,N/A,7
267,VJFD11,Híbrido,N/A,N/A,"R$ 0,86","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 650.064.545,92","R$ 133,32",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
268,WTSP11B,Híbrido,"R$ 43,88",1.0,"R$ 0,48","1,01%","2,53%","4,46%","6,33%","0,84%","0,74%","0,53%","6,10%","-4,02%","-3,05%","-3,60%","R$ 77.799.824,27","R$ 78,38","0,56","0,40%","3,55%","3,97%","3,97%",N/A,N/A,0
269,FLRP11,Shoppings,"R$ 1.210,00",12.0,"R$ 8,00","0,67%","1,91%","3,38%","5,62%","0,64%","0,56%","0,47%","0,67%","0,00%","0,67%","0,67%","R$ 112.198.420,79","R$ 1.719,99","0,70","0,47%","0,00%","0,47%","0,47%","2,01%",N/A,1
270,XPML11,Shoppings,"R$ 90,27",19362.0,"R$ 0,60","0,64%","2,12%","3,78%","5,91%","0,71%","0,63%","0,49%","0,64%","0,00%","0,64%","0,64%","R$ 1.900.952.211,41","R$ 101,76","0,89","0,59%","0,00%","0,59%","0,59%","4,00%",N/A,13
271,ALZR11,Logística,"R$ 109,80",11569.0,"R$ 0,73","0,62%","1,88%","3,61%","6,77%","0,63%","0,60%","0,56%","0,62%","0,00%","0,62%","0,62%","R$ 642.593.457,02","R$ 108,51","1,01","0,67%","0,00%","0,67%","0,67%","0,00%",N/A,15
